Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 199, 49.35, 0.01, 11.19, 0.02, 6.70, 0.02, 3.29, 0.01, 90.57, 0.14, 2.04, 0.34, 0.87, 69.35, 0.070, 0.07, 0
0, 2, 220, 85.56, 0.01, 18.17, 0.02, 6.89, 0.02, 3.19, 0.01, 90.18, 0.15, 2.16, 0.37, 0.89, 69.13, 0.054, 0.09, 0
0, 3, 169, 68.57, 0.01, 25.36, 0.01, 4.56, 0.02, 3.29, 0.01, 94.32, 0.43, 1.38, 0.16, 0.69, 47.09, 0.062, 0.07, 0
0, 4, 225, 83.90, 0.01, 42.04, 0.02, 6.94, 0.02, 3.35, 0.01, 90.67, 0.17, 2.07, 0.35, 0.88, 73.10, 0.057, 0.09, 0
0, 5, 400, 75.04, 0.15, 36.36, 0.03, 4.43, 0.21, 0.48, 0.03, 5.53, 0.66, 9.21, 0.80, 0.99, 6.70, 0.000, 0.77, 6
0, 6, 400, 8.20, 0.13, 43.14, 0.02, 4.95, 0.19, 0.42, 0.02, 4.39, 0.45, 11.80, 0.84, 1.00, 6.51, 0.000, 0.70, 6
0, 7, 400, 28.44, 0.12, 43.28, 0.02, 3.91, 0.16, 0.51, 0.02, 6.57, 0.62, 7.62, 0.77, 0.99, 6.29, 0.001, 0.76, 6
0, 8, 400, 60.03, 0.12, 46.03, 0.01, 4.45, 0.16, 0.44, 0.02, 5.03, 0.49, 10.03, 0.82, 1.00, 6.21, 0.000, 0.70, 6
0, 9, 197, 29.58, 0.01, 70.32, 0.02, 6.12, 0.02, 3.37, 0.01, 90.84, 0.24, 1.81, 0.29, 0.83, 64.81, 0.057, 0.09, 0
0, 10, 400, 45.00, 0.12, 65.57, 0.02, 4.02, 0.16, 0.49, 0.02, 6.19, 0.55, 8.17, 0.78, 0.99, 6.20, 0.001, 0.73, 6
0, 11, 131, 92.57, 0.10, 72.72, 0.30, 5.22, 0.32, 3.27, 0.07, 60.69, 3.52, 1.60, 0.23, 0.78, 53.59, 0.065, 0.48, 3
0, 12, 400, 69.80, 0.12, 67.74, 0.02, 4.12, 0.17, 0.48, 0.02, 5.89, 0.50, 8.61, 0.79, 0.99, 6.21, 0.000, 0.72, 6
0, 13, 400, 5.79, 0.12, 77.05, 0.01, 4.57, 0.18, 0.43, 0.02, 4.78, 0.43, 10.66, 0.83, 1.00, 6.15, 0.000, 0.68, 6
1, 1, 192, 77.46, 0.01, 14.55, 0.02, 5.96, 0.03, 3.02, 0.01, 91.67, 0.20, 1.97, 0.33, 0.86, 56.54, 0.062, 0.09, 0
1, 2, 204, 59.43, 0.01, 15.49, 0.02, 6.47, 0.03, 3.11, 0.01, 91.11, 0.20, 2.08, 0.35, 0.88, 63.24, 0.063, 0.10, 0
1, 3, 400, 13.52, 0.14, 26.52, 0.02, 4.86, 0.22, 0.42, 0.02, 4.43, 0.45, 11.69, 0.84, 1.00, 6.36, 0.000, 0.70, 6
1, 4, 400, 32.43, 0.12, 31.67, 0.02, 4.03, 0.18, 0.49, 0.02, 6.20, 0.52, 8.21, 0.78, 0.99, 6.21, 0.000, 0.73, 6
1, 5, 400, 77.07, 0.12, 35.03, 0.02, 4.03, 0.18, 0.49, 0.02, 6.20, 0.52, 8.21, 0.78, 0.99, 6.21, 0.000, 0.73, 6
1, 6, 214, 62.98, 0.01, 51.30, 0.02, 6.82, 0.03, 3.28, 0.01, 90.41, 0.18, 2.08, 0.35, 0.88, 70.22, 0.060, 0.09, 0
1, 7, 400, 8.62, 0.13, 49.01, 0.01, 4.70, 0.20, 0.42, 0.02, 4.58, 0.39, 11.30, 0.84, 1.00, 6.15, 0.000, 0.67, 6
1, 8, 400, 83.16, 0.13, 56.91, 0.01, 4.59, 0.19, 0.43, 0.02, 4.79, 0.44, 10.79, 0.83, 1.00, 6.14, 0.000, 0.67, 6
1, 9, 194, 51.10, 0.01, 66.31, 0.02, 6.43, 0.03, 3.08, 0.01, 92.31, 0.22, 2.09, 0.35, 0.88, 62.15, 0.058, 0.08, 0
1, 10, 400, 88.53, 0.13, 65.47, 0.01, 4.59, 0.19, 0.43, 0.02, 4.79, 0.44, 10.79, 0.83, 1.00, 6.14, 0.001, 0.67, 6
2, 1, 400, 51.54, 0.14, 19.91, 0.03, 4.43, 0.20, 0.48, 0.03, 5.49, 0.65, 9.24, 0.80, 0.99, 6.69, 0.000, 0.76, 6
2, 2, 204, 78.71, 0.01, 35.50, 0.02, 6.05, 0.03, 3.46, 0.02, 90.28, 0.32, 1.75, 0.27, 0.82, 65.66, 0.053, 0.12, 0
2, 3, 400, 19.06, 0.12, 30.64, 0.02, 4.20, 0.18, 0.48, 0.02, 5.74, 0.50, 8.81, 0.80, 0.99, 6.29, 0.000, 0.73, 6
2, 4, 400, 95.96, 0.11, 49.88, 0.03, 3.88, 0.17, 0.54, 0.03, 7.27, 0.76, 7.15, 0.75, 0.99, 6.61, 0.000, 0.82, 6
2, 5, 232, 43.26, 0.03, 80.91, 0.11, 7.84, 0.14, 3.12, 0.04, 84.82, 0.73, 2.51, 0.43, 0.92, 76.77, 0.069, 0.52, 3
3, 1, 232, 25.64, 0.01, 16.82, 0.02, 6.99, 0.02, 3.24, 0.01, 90.25, 0.14, 2.16, 0.37, 0.89, 71.17, 0.057, 0.08, 0
3, 2, 400, 62.27, 0.12, 14.87, 0.02, 4.30, 0.19, 0.48, 0.03, 5.75, 0.64, 8.95, 0.80, 0.99, 6.49, 0.000, 0.75, 6
3, 3, 202, 35.01, 0.01, 25.64, 0.01, 5.35, 0.02, 3.68, 0.01, 94.27, 0.32, 1.46, 0.19, 0.73, 61.83, 0.060, 0.09, 0
3, 4, 234, 18.51, 0.01, 40.34, 0.05, 7.18, 0.09, 3.25, 0.03, 92.36, 0.38, 2.21, 0.38, 0.89, 73.40, 0.067, 0.26, 3
3, 5, 400, 77.42, 0.14, 47.17, 0.01, 4.70, 0.19, 0.42, 0.02, 4.58, 0.41, 11.25, 0.84, 1.00, 6.16, 0.000, 0.67, 6
3, 6, 400, 29.72, 0.15, 55.66, 0.03, 4.42, 0.19, 0.48, 0.03, 5.53, 0.71, 9.18, 0.80, 0.99, 6.69, 0.000, 0.77, 6
3, 7, 400, 66.50, 0.16, 63.69, 0.01, 5.46, 0.22, 0.36, 0.02, 3.40, 0.31, 15.34, 0.88, 1.00, 6.12, 0.000, 0.63, 6
3, 8, 400, 47.88, 0.13, 66.07, 0.03, 4.40, 0.17, 0.48, 0.03, 5.78, 0.74, 9.09, 0.80, 0.99, 6.69, 0.000, 0.76, 6
4, 1, 210, 25.21, 0.01, 28.58, 0.02, 6.78, 0.02, 3.33, 0.01, 90.21, 0.17, 2.04, 0.34, 0.87, 70.89, 0.057, 0.09, 0
4, 2, 257, 63.67, 0.02, 37.05, 0.04, 8.31, 0.05, 4.12, 0.02, 75.55, 0.37, 2.02, 0.34, 0.87, 107.48, 0.062, 61.95, 3
4, 3, 400, 79.66, 0.11, 52.97, 0.02, 4.20, 0.19, 0.48, 0.02, 5.83, 0.57, 8.75, 0.79, 0.99, 6.32, 0.000, 0.74, 6
4, 4, 400, 76.41, 0.13, 62.50, 0.02, 4.38, 0.17, 0.46, 0.02, 5.30, 0.59, 9.42, 0.81, 0.99, 6.39, 0.000, 0.74, 6
4, 5, 400, 88.98, 0.15, 62.71, 0.03, 4.42, 0.20, 0.48, 0.03, 5.57, 0.70, 9.12, 0.80, 0.99, 6.72, 0.000, 0.78, 6
5, 1, 196, 69.73, 0.02, 8.83, 0.04, 6.27, 0.04, 5.11, 0.03, 69.46, 2.15, 1.23, 0.10, 0.58, 100.69, 0.065, 0.22, 3
5, 2, 211, 95.05, 0.01, 11.86, 0.03, 6.93, 0.03, 3.20, 0.01, 89.43, 0.17, 2.16, 0.37, 0.89, 69.70, 0.057, 0.10, 0
5, 3, 214, 82.53, 0.01, 13.77, 0.02, 6.90, 0.02, 3.09, 0.01, 87.90, 0.13, 2.23, 0.38, 0.89, 67.01, 0.060, 0.07, 0
5, 4, 400, 27.99, 0.13, 10.45, 0.01, 4.45, 0.17, 0.44, 0.02, 5.04, 0.45, 10.02, 0.82, 1.00, 6.21, 0.000, 0.70, 6
5, 5, 208, 73.93, 0.01, 33.75, 0.02, 6.86, 0.03, 3.13, 0.01, 90.66, 0.14, 2.19, 0.37, 0.89, 67.33, 0.059, 0.09, 0
5, 6, 400, 42.63, 0.12, 26.12, 0.02, 4.29, 0.18, 0.48, 0.03, 5.81, 0.62, 8.88, 0.80, 0.99, 6.50, 0.000, 0.76, 6
5, 7, 400, 21.32, 0.11, 34.68, 0.02, 4.12, 0.18, 0.48, 0.02, 5.95, 0.53, 8.57, 0.79, 0.99, 6.22, 0.001, 0.73, 6
5, 8, 400, 85.70, 0.11, 44.07, 0.02, 4.20, 0.19, 0.48, 0.02, 5.83, 0.57, 8.75, 0.79, 0.99, 6.32, 0.001, 0.74, 6
5, 9, 400, 66.49, 0.15, 50.96, 0.03, 4.42, 0.20, 0.48, 0.03, 5.57, 0.70, 9.12, 0.80, 0.99, 6.72, 0.000, 0.78, 6
5, 10, 400, 86.63, 0.11, 54.50, 0.02, 4.01, 0.15, 0.49, 0.02, 6.26, 0.56, 8.14, 0.78, 0.99, 6.20, 0.003, 0.74, 6
6, 1, 326, 81.10, 0.04, 23.33, 0.10, 9.14, 0.13, 3.44, 0.04, 86.31, 0.58, 2.66, 0.45, 0.93, 98.74, 0.050, 2.83, 6
6, 2, 215, 91.01, 0.01, 22.06, 0.02, 6.97, 0.03, 3.39, 0.01, 90.61, 0.21, 2.05, 0.35, 0.87, 74.28, 0.075, 0.11, 0
6, 3, 400, 26.70, 0.14, 56.50, 0.03, 4.43, 0.20, 0.48, 0.03, 5.56, 0.64, 9.17, 0.80, 0.99, 6.72, 0.000, 0.77, 6
6, 4, 400, 11.49, 0.13, 64.30, 0.01, 4.57, 0.19, 0.43, 0.02, 4.79, 0.38, 10.71, 0.83, 1.00, 6.14, 0.000, 0.68, 6
6, 5, 400, 89.34, 0.13, 74.12, 0.03, 4.41, 0.17, 0.48, 0.03, 5.76, 0.63, 9.11, 0.80, 0.99, 6.69, 0.000, 0.75, 6
7, 1, 215, 29.54, 0.01, 8.67, 0.02, 6.74, 0.02, 3.30, 0.01, 91.24, 0.17, 2.04, 0.34, 0.87, 69.89, 0.061, 0.09, 0
7, 2, 199, 78.88, 0.01, 15.35, 0.02, 6.44, 0.03, 3.16, 0.01, 89.75, 0.18, 2.04, 0.34, 0.87, 63.96, 0.062, 0.09, 0
7, 3, 210, 26.30, 0.01, 23.75, 0.01, 6.17, 0.02, 3.19, 0.01, 91.21, 0.14, 1.93, 0.32, 0.86, 61.86, 0.062, 0.07, 0
7, 4, 400, 23.69, 0.11, 41.07, 0.02, 4.01, 0.17, 0.49, 0.02, 6.23, 0.53, 8.18, 0.78, 0.99, 6.19, 0.000, 0.73, 6
7, 5, 400, 40.85, 0.12, 53.19, 0.02, 3.90, 0.16, 0.51, 0.03, 6.64, 0.65, 7.59, 0.77, 0.99, 6.31, 0.000, 0.77, 6
7, 6, 400, 21.76, 0.20, 77.86, 0.01, 7.00, 0.28, 0.29, 0.02, 2.26, 0.24, 23.89, 0.92, 1.00, 6.44, 0.000, 0.64, 6
8, 1, 208, 77.25, 0.01, 11.51, 0.02, 6.90, 0.03, 3.42, 0.01, 92.01, 0.20, 2.02, 0.34, 0.87, 74.24, 0.060, 0.10, 0
8, 2, 207, 66.86, 0.01, 20.36, 0.01, 6.30, 0.02, 3.15, 0.01, 87.11, 0.16, 2.00, 0.33, 0.87, 62.34, 0.061, 0.08, 0
8, 3, 195, 51.34, 0.01, 22.21, 0.02, 6.50, 0.02, 3.17, 0.01, 91.12, 0.17, 2.05, 0.34, 0.87, 64.85, 0.057, 0.08, 0
8, 4, 400, 7.47, 0.15, 17.88, 0.01, 5.34, 0.20, 0.36, 0.01, 3.53, 0.31, 14.65, 0.87, 1.00, 6.10, 0.000, 0.64, 6
8, 5, 400, 24.42, 0.11, 45.46, 0.02, 3.88, 0.15, 0.52, 0.02, 6.61, 0.61, 7.47, 0.76, 0.99, 6.32, 0.000, 0.78, 6
8, 6, 400, 37.51, 0.11, 58.89, 0.02, 3.88, 0.15, 0.52, 0.02, 6.61, 0.61, 7.47, 0.76, 0.99, 6.32, 0.000, 0.78, 6
9, 1, 247, 73.62, 0.01, 14.82, 0.02, 8.12, 0.03, 3.43, 0.01, 90.69, 0.17, 2.37, 0.41, 0.91, 87.44, 0.074, 0.13, 0
9, 2, 204, 83.18, 0.06, 21.46, 0.17, 6.58, 0.12, 3.08, 0.03, 90.97, 0.71, 2.14, 0.36, 0.88, 63.64, 0.055, 0.31, 3
9, 3, 220, 64.48, 0.01, 30.05, 0.02, 6.71, 0.03, 3.23, 0.01, 90.63, 0.23, 2.08, 0.35, 0.88, 68.01, 0.052, 0.12, 0
9, 4, 400, 46.18, 0.11, 23.11, 0.02, 4.01, 0.16, 0.49, 0.02, 6.21, 0.55, 8.15, 0.78, 0.99, 6.19, 0.000, 0.73, 6
9, 5, 200, 86.57, 0.02, 34.83, 0.06, 6.24, 0.10, 2.91, 0.02, 91.85, 0.46, 2.14, 0.36, 0.88, 57.11, 0.054, 0.27, 3
9, 6, 215, 51.43, 0.02, 39.02, 0.06, 6.30, 0.10, 3.35, 0.03, 95.88, 0.55, 1.88, 0.31, 0.85, 66.33, 0.054, 0.27, 3
9, 7, 400, 13.13, 0.15, 53.96, 0.02, 5.79, 0.22, 0.36, 0.02, 3.26, 0.35, 16.20, 0.88, 1.00, 6.51, 0.000, 0.65, 6
9, 8, 400, 47.57, 0.11, 60.23, 0.02, 3.91, 0.15, 0.51, 0.02, 6.59, 0.65, 7.61, 0.77, 0.99, 6.31, 0.000, 0.76, 6
9, 9, 400, 20.31, 0.13, 64.22, 0.02, 4.28, 0.18, 0.48, 0.03, 5.77, 0.63, 8.90, 0.80, 0.99, 6.47, 0.000, 0.75, 6
10, 1, 184, 63.32, 0.02, 18.94, 0.04, 5.90, 0.06, 3.16, 0.02, 90.84, 0.53, 1.87, 0.30, 0.84, 58.58, 0.065, 0.19, 0
10, 2, 400, 11.94, 0.16, 17.98, 0.02, 5.05, 0.22, 0.42, 0.03, 4.42, 0.56, 11.91, 0.85, 1.00, 6.72, 0.000, 0.70, 6
10, 3, 222, 27.31, 0.01, 42.60, 0.01, 6.57, 0.02, 3.46, 0.01, 92.76, 0.16, 1.90, 0.31, 0.85, 71.41, 0.059, 0.08, 0
10, 4, 400, 84.98, 0.14, 38.71, 0.03, 4.40, 0.18, 0.48, 0.03, 5.72, 0.65, 9.13, 0.80, 0.99, 6.67, 0.000, 0.75, 6
10, 5, 400, 72.83, 0.12, 43.24, 0.02, 4.14, 0.19, 0.48, 0.02, 5.88, 0.52, 8.65, 0.79, 0.99, 6.21, 0.000, 0.72, 6
10, 6, 400, 34.30, 0.14, 65.56, 0.03, 4.40, 0.18, 0.48, 0.03, 5.72, 0.65, 9.13, 0.80, 0.99, 6.67, 0.000, 0.75, 6
10, 7, 400, 43.13, 0.12, 70.42, 0.02, 4.14, 0.19, 0.48, 0.02, 5.88, 0.52, 8.65, 0.79, 0.99, 6.21, 0.000, 0.72, 6
10, 8, 400, 76.97, 0.11, 71.26, 0.02, 4.21, 0.20, 0.48, 0.03, 5.73, 0.54, 8.83, 0.80, 0.99, 6.31, 0.000, 0.73, 6
11, 1, 400, 31.88, 0.12, 13.03, 0.02, 4.14, 0.19, 0.48, 0.02, 5.88, 0.52, 8.65, 0.79, 0.99, 6.21, 0.001, 0.72, 6
11, 2, 400, 13.62, 0.16, 27.04, 0.02, 5.05, 0.22, 0.42, 0.03, 4.42, 0.56, 11.91, 0.85, 1.00, 6.72, 0.000, 0.70, 6
11, 3, 400, 23.49, 0.12, 28.63, 0.02, 4.14, 0.19, 0.48, 0.02, 5.88, 0.52, 8.65, 0.79, 0.99, 6.21, 0.000, 0.72, 6
11, 4, 206, 41.89, 0.01, 47.48, 0.01, 6.26, 0.02, 3.13, 0.01, 90.20, 0.15, 2.00, 0.33, 0.87, 61.49, 0.059, 0.07, 0
11, 5, 400, 23.69, 0.13, 45.55, 0.02, 4.36, 0.18, 0.47, 0.02, 5.30, 0.63, 9.37, 0.81, 0.99, 6.37, 0.000, 0.74, 6
11, 6, 400, 60.26, 0.13, 58.34, 0.02, 4.30, 0.19, 0.48, 0.03, 5.77, 0.64, 8.90, 0.80, 0.99, 6.51, 0.000, 0.75, 6
11, 7, 400, 31.39, 0.12, 72.94, 0.02, 4.13, 0.17, 0.48, 0.02, 5.90, 0.53, 8.62, 0.79, 0.99, 6.22, 0.000, 0.72, 6
12, 1, 254, 20.75, 0.05, 10.48, 0.13, 7.20, 0.18, 3.37, 0.06, 74.11, 1.04, 2.14, 0.36, 0.88, 76.30, 0.053, 0.66, 3
12, 2, 212, 44.36, 0.04, 13.35, 0.07, 6.07, 0.17, 3.61, 0.06, 92.55, 1.43, 1.68, 0.25, 0.80, 68.92, 0.063, 0.46, 3
12, 3, 201, 86.39, 0.01, 26.19, 0.02, 6.31, 0.02, 3.01, 0.01, 90.00, 0.17, 2.10, 0.35, 0.88, 59.59, 0.054, 0.08, 0
12, 4, 400, 14.54, 0.18, 48.02, 0.03, 5.13, 0.21, 0.42, 0.03, 4.35, 0.51, 12.11, 0.85, 1.00, 6.82, 0.000, 0.71, 6
12, 5, 191, 56.52, 0.01, 55.68, 0.02, 5.96, 0.03, 3.00, 0.01, 92.07, 0.24, 1.98, 0.33, 0.86, 56.15, 0.060, 0.09, 0
12, 6, 400, 91.39, 0.18, 51.68, 0.01, 6.67, 0.25, 0.29, 0.01, 2.33, 0.19, 22.98, 0.92, 1.00, 6.08, 0.001, 0.61, 6
13, 1, 206, 37.64, 0.01, 20.74, 0.02, 6.13, 0.02, 2.98, 0.01, 91.80, 0.19, 2.06, 0.35, 0.87, 57.36, 0.059, 0.09, 0
13, 2, 194, 38.67, 0.01, 53.43, 0.02, 6.28, 0.03, 3.17, 0.01, 90.20, 0.19, 1.98, 0.33, 0.86, 62.63, 0.061, 0.08, 0
13, 3, 212, 58.02, 0.01, 54.60, 0.02, 6.75, 0.02, 3.20, 0.01, 89.17, 0.16, 2.11, 0.36, 0.88, 67.84, 0.057, 0.09, 0
13, 4, 400, 70.22, 0.13, 47.77, 0.03, 4.39, 0.17, 0.49, 0.03, 5.75, 0.70, 9.05, 0.80, 0.99, 6.70, 0.000, 0.76, 6
14, 1, 400, 38.71, 0.11, 16.88, 0.02, 4.19, 0.18, 0.48, 0.03, 5.79, 0.55, 8.73, 0.79, 0.99, 6.32, 0.000, 0.74, 6
14, 2, 196, 50.44, 0.01, 33.58, 0.01, 6.07, 0.02, 3.01, 0.01, 91.75, 0.17, 2.02, 0.34, 0.87, 57.49, 0.065, 0.08, 0
14, 3, 400, 41.56, 0.11, 30.81, 0.02, 4.19, 0.18, 0.48, 0.03, 5.79, 0.55, 8.73, 0.79, 0.99, 6.32, 0.000, 0.74, 6
14, 4, 400, 6.97, 0.13, 50.03, 0.01, 4.57, 0.17, 0.43, 0.02, 4.76, 0.39, 10.65, 0.83, 1.00, 6.16, 0.000, 0.68, 6
15, 1, 207, 39.61, 0.00, 27.65, 0.01, 6.40, 0.01, 2.83, 0.01, 91.85, 0.10, 2.26, 0.39, 0.90, 56.80, 0.066, 0.06, 0
15, 2, 400, 76.94, 0.12, 25.54, 0.03, 3.89, 0.17, 0.54, 0.03, 6.92, 0.83, 7.19, 0.76, 0.99, 6.60, 0.000, 0.83, 6
15, 3, 400, 58.64, 0.13, 28.14, 0.03, 4.40, 0.20, 0.48, 0.03, 5.76, 0.62, 9.12, 0.80, 0.99, 6.67, 0.000, 0.76, 6
15, 4, 400, 94.15, 0.13, 63.11, 0.02, 4.77, 0.20, 0.42, 0.02, 4.45, 0.39, 11.46, 0.84, 1.00, 6.24, 0.000, 0.68, 6
15, 5, 400, 20.81, 0.12, 63.38, 0.02, 4.12, 0.17, 0.48, 0.02, 5.92, 0.54, 8.58, 0.79, 0.99, 6.22, 0.000, 0.73, 6
15, 6, 400, 62.62, 0.15, 68.41, 0.03, 4.42, 0.20, 0.48, 0.03, 5.53, 0.67, 9.20, 0.80, 0.99, 6.68, 0.000, 0.77, 6
15, 7, 162, 70.99, 0.01, 76.16, 0.02, 4.84, 0.02, 2.86, 0.01, 94.96, 0.37, 1.69, 0.26, 0.81, 43.51, 0.064, 0.08, 0
15, 8, 400, 9.92, 0.15, 72.44, 0.03, 4.42, 0.20, 0.48, 0.03, 5.53, 0.67, 9.20, 0.80, 0.99, 6.68, 0.000, 0.77, 6
16, 1, 209, 27.56, 0.01, 8.37, 0.01, 6.52, 0.02, 3.00, 0.01, 91.09, 0.17, 2.17, 0.37, 0.89, 61.47, 0.055, 0.08, 0
16, 2, 192, 71.25, 0.05, 9.77, 0.17, 5.76, 0.19, 3.40, 0.04, 94.74, 1.61, 1.69, 0.26, 0.81, 61.48, 0.063, 0.48, 3
16, 3, 360, 77.55, 0.09, 17.69, 0.12, 8.94, 0.21, 4.43, 0.10, 76.41, 1.27, 2.02, 0.34, 0.87, 124.50, 0.056, 3.13, 3
16, 4, 217, 86.39, 0.04, 19.30, 0.03, 6.19, 0.08, 3.29, 0.07, 90.92, 0.43, 1.88, 0.31, 0.85, 63.94, 0.056, 0.25, 3
16, 5, 214, 38.18, 0.01, 31.73, 0.02, 7.08, 0.03, 3.07, 0.01, 90.91, 0.12, 2.30, 0.39, 0.90, 68.36, 0.061, 0.08, 0
16, 6, 400, 90.46, 0.12, 28.80, 0.02, 4.12, 0.17, 0.48, 0.02, 5.92, 0.54, 8.58, 0.79, 0.99, 6.22, 0.000, 0.73, 6
16, 7, 400, 66.73, 0.11, 46.09, 0.02, 4.20, 0.18, 0.48, 0.02, 5.79, 0.54, 8.79, 0.80, 0.99, 6.30, 0.000, 0.74, 6
16, 8, 400, 36.98, 0.14, 51.80, 0.03, 4.40, 0.18, 0.49, 0.03, 5.77, 0.67, 9.07, 0.80, 0.99, 6.71, 0.000, 0.76, 6
16, 9, 400, 93.23, 0.14, 55.40, 0.01, 4.57, 0.17, 0.43, 0.02, 4.79, 0.44, 10.71, 0.83, 1.00, 6.13, 0.000, 0.68, 6
16, 10, 400, 67.13, 0.12, 64.38, 0.02, 4.12, 0.18, 0.48, 0.02, 5.89, 0.53, 8.63, 0.79, 0.99, 6.20, 0.000, 0.72, 6
16, 11, 400, 40.71, 0.12, 74.28, 0.02, 4.20, 0.17, 0.48, 0.02, 5.76, 0.55, 8.81, 0.80, 0.99, 6.30, 0.000, 0.74, 6
17, 1, 213, 38.67, 0.01, 12.29, 0.01, 6.51, 0.02, 3.36, 0.01, 91.84, 0.14, 1.94, 0.32, 0.86, 68.84, 0.059, 0.07, 0
17, 2, 220, 55.44, 0.01, 17.87, 0.01, 7.09, 0.02, 3.08, 0.01, 92.08, 0.12, 2.30, 0.39, 0.90, 68.62, 0.056, 0.07, 0
17, 3, 252, 31.79, 0.01, 30.49, 0.02, 7.96, 0.02, 3.56, 0.01, 91.26, 0.13, 2.24, 0.38, 0.89, 89.13, 0.057, 0.09, 0
17, 4, 220, 85.58, 0.01, 34.17, 0.02, 7.53, 0.02, 3.00, 0.01, 92.50, 0.12, 2.51, 0.43, 0.92, 70.90, 0.076, 0.07, 0
17, 5, 143, 51.36, 0.01, 45.90, 0.02, 4.28, 0.03, 2.87, 0.01, 91.24, 0.50, 1.49, 0.20, 0.74, 38.54, 0.068, 0.09, 0
17, 6, 202, 46.30, 0.01, 61.97, 0.02, 6.09, 0.03, 3.20, 0.01, 91.08, 0.24, 1.90, 0.31, 0.85, 61.24, 0.059, 0.10, 0
17, 7, 253, 28.00, 0.08, 71.91, 0.09, 7.01, 0.16, 4.88, 0.08, 50.39, 1.94, 1.44, 0.18, 0.72, 107.53, 0.059, 0.69, 3
17, 8, 400, 15.50, 0.22, 67.63, 0.02, 7.34, 0.27, 0.30, 0.02, 2.33, 0.31, 24.37, 0.92, 1.00, 6.95, 0.000, 0.60, 6
18, 1, 234, 83.02, 0.01, 26.34, 0.02, 7.34, 0.03, 3.56, 0.01, 90.67, 0.16, 2.06, 0.35, 0.87, 82.07, 0.056, 0.11, 0
18, 2, 239, 54.75, 0.02, 40.69, 0.07, 6.49, 0.08, 3.42, 0.03, 84.90, 0.60, 1.90, 0.31, 0.85, 69.71, 0.058, 0.40, 3
18, 3, 400, 94.32, 0.12, 37.02, 0.02, 4.10, 0.16, 0.48, 0.02, 5.95, 0.52, 8.53, 0.79, 0.99, 6.20, 0.000, 0.73, 6
18, 4, 400, 18.99, 0.15, 55.15, 0.03, 4.41, 0.18, 0.48, 0.03, 5.53, 0.66, 9.12, 0.80, 0.99, 6.69, 0.001, 0.77, 6
18, 5, 400, 94.36, 0.12, 60.37, 0.02, 4.00, 0.16, 0.49, 0.02, 6.23, 0.56, 8.12, 0.78, 0.99, 6.20, 0.000, 0.74, 6
18, 6, 400, 26.03, 0.13, 64.72, 0.02, 4.29, 0.17, 0.48, 0.03, 5.75, 0.58, 8.91, 0.80, 0.99, 6.48, 0.001, 0.75, 6
18, 7, 400, 25.13, 0.13, 80.26, 0.02, 4.45, 0.17, 0.44, 0.02, 5.05, 0.48, 10.01, 0.82, 0.99, 6.22, 0.000, 0.70, 6
19, 1, 214, 33.91, 0.01, 12.75, 0.02, 6.54, 0.03, 3.18, 0.01, 91.63, 0.20, 2.06, 0.35, 0.87, 65.21, 0.056, 0.10, 0
19, 2, 400, 71.87, 0.12, 53.32, 0.02, 4.00, 0.16, 0.49, 0.02, 6.23, 0.56, 8.12, 0.78, 0.99, 6.20, 0.001, 0.74, 6
19, 3, 400, 14.06, 0.16, 55.23, 0.03, 5.11, 0.21, 0.42, 0.02, 4.39, 0.52, 12.04, 0.85, 1.00, 6.81, 0.001, 0.72, 6
19, 4, 400, 18.05, 0.14, 71.50, 0.02, 4.84, 0.19, 0.42, 0.02, 4.43, 0.42, 11.57, 0.84, 1.00, 6.36, 0.000, 0.70, 6
20, 1, 198, 93.81, 0.01, 11.38, 0.02, 6.41, 0.03, 3.07, 0.01, 90.36, 0.19, 2.09, 0.35, 0.88, 61.83, 0.061, 0.09, 0
20, 2, 267, 30.05, 0.02, 33.58, 0.04, 8.58, 0.06, 3.91, 0.02, 76.59, 0.33, 2.19, 0.37, 0.89, 105.57, 0.057, 6.22, 3
20, 3, 400, 63.94, 0.11, 27.46, 0.02, 4.14, 0.19, 0.48, 0.02, 5.86, 0.47, 8.70, 0.79, 0.99, 6.20, 0.004, 0.72, 6
20, 4, 400, 69.10, 0.17, 40.47, 0.03, 5.14, 0.20, 0.42, 0.03, 4.36, 0.54, 12.19, 0.85, 1.00, 6.81, 0.000, 0.71, 6
20, 5, 400, 6.79, 0.16, 58.40, 0.02, 5.04, 0.21, 0.41, 0.03, 4.09, 0.53, 12.17, 0.85, 1.00, 6.57, 0.000, 0.72, 6
20, 6, 400, 45.38, 0.11, 71.98, 0.02, 3.90, 0.17, 0.51, 0.02, 6.59, 0.67, 7.63, 0.77, 0.99, 6.27, 0.000, 0.76, 6
21, 1, 400, 21.35, 0.12, 3.76, 0.02, 4.38, 0.17, 0.46, 0.02, 5.21, 0.52, 9.52, 0.81, 0.99, 6.34, 0.000, 0.73, 6
21, 2, 400, 80.25, 0.12, 9.01, 0.02, 4.01, 0.16, 0.49, 0.02, 6.22, 0.59, 8.14, 0.78, 0.99, 6.20, 0.001, 0.73, 6
